#Day la file demo su dung cach doc va ghi file su dung fstream
# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\spritemario.png	68	145	190
20	textures\misc.png	176	224	248
21	textures\miscs.png	224	163	216
22	textures\item.png	166	185	255
23	textures\enemy.png	64	128	0
24	textures\enemies-3.png	68	145	190
25	textures\font.png	255	0	255
41	textures\title.png	40	40	40



# id	left	top	right	bottom	texture_id
[SPRITES]
# BIG MARIO 
# idle right
10001	246	154	260	181	0
# walk
10002	275	154	290	181	0		
10003	304	154	321	181	0
# idle left
10011	186	154	200	181	0
#walk
10012	155	154	170	181	0
10013	125	154	140	181	0
# die 
10099	215	120	231	135	0
# SMALL MARIO
# idle small right
10021	247	0	259	15	0
# walk
10022	275	0	291	15	0
10023	306	0	320	15	0
# idle small left
10031	187	0	198	15	0
# walk
10032	155	0	170	15	0
10033	125	0	139	15	0

#QUESTION BRICK
#40001	300	117	316	133	20
#40002	318	117	334	133	20
#40003	336	117	352	133	20
#40004	355	117	370	133	20

#SMALL Mario
20001	524	16	540	32	10
20002	542	16	558	32	10
20003	560	16	576	32	10
20004	578	16	594	32	10
20005	596	16	612	32	10
20006	614	16	630	32	10
20007	632	16	648	32	10
20008	650	16	666	32	10
20009	668	16	684	32	10
20010	686	16	702	32	10
20011	704	16	720	32	10
20012	722	16	738	32	10
20013	740	16	756	32	10
20014	758	16	774	32	10
20015	776	16	792	32	10
20016	794	16	810	32	10
20017	812	16	828	32	10
20018	830	16	846	32	10
20019	505	16	521	32	10
20020	487	16	503	32	10
20021	469	16	485	32	10
20022	451	16	467	32	10
20023	433	16	449	32	10
20024	415	16	431	32	10
20025	397	16	413	32	10
20026	379	16	395	32	10
20027	361	16	377	32	10
20028	343	16	359	32	10
20029	325	16	341	32	10
20030	307	16	323	32	10
20031	289	16	305	32	10
20032	271	16	287	32	10
20033	253	16	269	32	10
20034	235	16	251	32	10
20035	217	16	233	32	10

#Super Mario Left					
20036	524	92	540	120	10
20037	542	92	558	120	10
20038	560	92	576	120	10
20039	578	96	594	120	10
20040	596	92	612	120	10
20041	614	92	638	120	10
20042	640	92	664	120	10
20043	666	92	690	120	10
20044	692	92	716	120	10
20045	718	92	734	120	10
20046	736	92	752	120	10
20047	754	92	770	120	10
20048	772	92	788	120	10
20049	790	92	806	120	10
20050	808	92	824	120	10
20051	826	92	850	120	10
20052	852	92	868	120	10
20053	870	92	894	120	10
20054	896	92	912	120	10
20055	922	92	946	120	10
20056	948	92	972	120	10
20057	974	88	990	116	10
20058	524	122	548	154	10
20059	550	122	574	154	10
20060	576	122	600	154	10
20061	602	122	626	154	10
20062	628	122	652	154	10
20063	654	122	678	154	10
20064	680	122	704	154	10
20065	706	122	730	154	10
20066	732	130	748	154	10
20067	948	122	972	146	10
20068	974	122	990	154	10
#Super Mario Right					
20069	505	92	521	120	10
20070	487	92	503	120	10
20071	469	92	485	120	10
20072	451	96	467	120	10
20073	433	92	449	120	10
20074	407	92	431	120	10
